sentence,word,sense_id
আমি ফল খেয়েছি।,ফল,0
বাজারে তাজা ফল পাওয়া যায়।,ফল,0
সে প্রতিদিন ফল কিনে আনে।,ফল,0
পরিশ্রমের ফল পেয়েছি।,ফল,1
পরীক্ষার ফল আজ প্রকাশিত হবে।,ফল,1
এই সিদ্ধান্তের ফল ভালো হয়নি।,ফল,1
আমার মাথা ব্যথা করছে।,মাথা,0
সে মাথায় টুপি পরেছে।,মাথা,0
আঘাতে তার মাথা ফেটে গেছে।,মাথা,0
নদীর মাথায় একটা গাছ আছে।,মাথা,1
পাহাড়ের মাথায় বরফ জমেছে।,মাথা,1
গলির মাথায় দোকানটা আছে।,মাথা,1
খেলায় আমাদের দলের হার হয়েছে।,হার,0
নির্বাচনে হার মেনে নিতে হবে।,হার,0
এই হার তাকে খুব কষ্ট দিয়েছে।,হার,0
মা আমাকে একটা সোনার হার দিয়েছেন।,হার,1
তার গলায় মুক্তার হার ঝুলছে।,হার,1
বিয়েতে সে নতুন হার পরেছে।,হার,1
ব্যাংকের সুদের হার বেড়েছে।,হার,2
দেশে শিক্ষার হার বাড়ছে।,হার,2
জন্মের হার কমে গেছে।,হার,2
